"initbasecd","initouts","endbasecd","runsinc","outsinc","eventcd","freq"
5,2,6,0,0,5,246
5,0,6,0,0,8,1
5,1,6,0,0,8,1
5,2,6,0,0,8,1
5,0,6,0,0,9,46
5,1,6,0,0,9,100
5,2,6,0,0,9,114
5,0,6,0,0,10,11
5,1,6,0,0,10,10
5,2,6,0,0,10,11
5,1,6,0,0,12,2
6,0,6,0,0,12,1
6,1,6,0,0,12,1
6,2,6,0,0,12,3
6,0,6,0,0,13,1
6,1,6,0,0,13,2
6,2,6,0,0,13,4
7,0,7,0,0,12,3
7,1,7,0,0,12,4
7,2,7,0,0,12,4
7,0,7,0,0,13,2
7,1,7,0,0,13,1
7,2,7,0,0,13,4
1,1,0,1,0,4,2
1,2,0,1,0,4,7
1,1,0,1,0,8,2
1,2,0,1,0,8,1
2,0,0,1,0,4,6
2,1,0,1,0,4,37
2,2,0,1,0,4,13
2,1,0,1,0,6,2
2,0,0,1,0,8,1
2,1,0,1,0,8,1
2,2,0,1,0,8,2
2,0,0,1,0,9,1
2,1,0,1,0,9,6
2,2,0,1,0,9,3
2,1,0,1,0,10,1
2,2,0,1,0,10,2
2,1,0,1,0,12,1
4,0,0,1,0,4,1
4,1,0,1,0,4,2
4,2,0,1,0,4,2
4,0,0,1,0,8,3
4,1,0,1,0,8,4
4,2,0,1,0,8,2
4,0,0,1,0,9,28
4,1,0,1,0,9,93
4,2,0,1,0,9,206
4,0,0,1,0,10,3
4,1,0,1,0,10,28
4,2,0,1,0,10,26
4,0,0,1,0,11,1
4,1,0,1,0,11,7
4,2,0,1,0,11,18
4,2,0,1,0,12,1
5,2,1,1,0,4,4
5,0,1,1,0,8,2
5,1,1,1,0,8,1
5,2,1,1,0,8,3
5,0,1,1,0,9,1
5,1,1,1,0,9,3
5,2,1,1,0,9,2
5,1,1,1,0,10,2
5,2,1,1,0,10,1
3,0,2,1,0,4,2
3,1,2,1,0,4,6
3,2,2,1,0,4,7
3,1,2,1,0,6,1
3,1,2,1,0,8,1
3,0,2,1,0,9,1
3,1,2,1,0,9,1
3,2,2,1,0,9,1
3,0,2,1,0,10,1
3,1,2,1,0,10,1
3,1,2,1,0,12,1
5,0,2,1,0,4,2
5,1,2,1,0,4,17
5,2,2,1,0,4,36
5,1,2,1,0,6,1
5,2,2,1,0,6,2
5,0,2,1,0,8,4
5,1,2,1,0,8,12
5,2,2,1,0,8,13
5,0,2,1,0,9,61
5,1,2,1,0,9,100
5,2,2,1,0,9,143
5,0,2,1,0,10,4
5,1,2,1,0,10,15
5,2,2,1,0,10,29
5,0,2,1,0,11,12
5,1,2,1,0,11,20
5,2,2,1,0,11,23
5,1,2,1,0,12,1
5,2,2,1,0,12,1
6,1,2,1,0,4,1
6,1,2,1,0,9,1
6,2,2,1,0,9,5
6,2,2,1,0,10,1
6,0,2,1,0,12,1
7,1,3,1,0,4,1
7,2,3,1,0,4,1
7,1,3,1,0,9,1
7,2,3,1,0,9,1
7,2,3,1,0,10,1
7,2,3,1,0,12,1
3,0,4,1,0,4,2
3,1,4,1,0,4,15
3,2,4,1,0,4,3
3,0,4,1,0,8,2
3,2,4,1,0,8,1
3,0,4,1,0,9,1
3,1,4,1,0,9,2
3,2,4,1,0,9,1
3,0,4,1,0,10,1
3,1,4,1,0,10,2
3,1,4,1,0,12,1
5,0,4,1,0,4,10
5,1,4,1,0,4,16
5,2,4,1,0,4,15
5,1,4,1,0,6,1
5,2,4,1,0,6,1
5,0,4,1,0,8,3
5,1,4,1,0,8,6
5,2,4,1,0,8,4
5,0,4,1,0,9,1
5,1,4,1,0,9,3
5,2,4,1,0,9,4
6,1,4,1,0,4,1
6,0,4,1,0,8,2
6,1,4,1,0,8,2
6,0,4,1,0,9,35
6,1,4,1,0,9,62
6,2,4,1,0,9,90
6,0,4,1,0,10,9
6,1,4,1,0,10,14
6,2,4,1,0,10,19
6,0,4,1,0,11,3
6,1,4,1,0,11,5
6,2,4,1,0,11,9
6,2,4,1,0,12,1
7,2,5,1,0,9,1
7,2,6,1,0,8,1
7,0,6,1,0,9,27
7,1,6,1,0,9,67
7,2,6,1,0,9,116
7,0,6,1,0,10,11
7,1,6,1,0,10,17
7,2,6,1,0,10,25
7,0,6,1,0,11,1
7,1,6,1,0,11,5
7,2,6,1,0,11,10
5,1,0,2,0,4,2
5,2,0,2,0,4,2
6,2,0,2,0,4,1
6,1,0,2,0,9,1
6,2,0,2,0,9,3
7,0,2,2,0,8,1
7,2,2,2,0,9,3
7,2,2,2,0,10,1
7,1,4,2,0,9,1
7,2,4,2,0,9,1
7,2,0,3,0,9,1
1,0,0,0,1,4,3
1,1,0,0,1,4,4
1,2,0,0,1,4,1
1,0,0,0,1,6,798
1,1,0,0,1,6,1074
1,2,0,0,1,6,1132
1,0,0,0,1,8,394
1,1,0,0,1,8,476
1,2,0,0,1,8,533
1,0,0,0,1,9,3
1,1,0,0,1,9,3
1,2,0,0,1,9,1
1,0,0,0,1,10,1
